-54	1.0419	0.0045
-53	1.0708	0.0046
-52	1.0833	0.0048											
-50	1.0973	0.0048											
-48	1.1143	0.0048											
-45	1.1175	0.0048											
-43	1.1268	0.0049											
-40	1.139	0.0049											
-37	1.1311	0.0049											
-33	1.1323	0.0049											
-30	1.1259	0.0049											
-26	1.1085	0.0049											
-19	1.089	0.0047											
-11	0.9836	0.0043											
-7	0.9205	0.0041											
-6	0.8948	0.0032											
-5	0.8667	0.0031											
-3	0.8622	0.0031											
1	0.8528	0.0025											
20	0.8568	0.0025											
23	0.8635	0.0032											
29	0.8588	0.0025											
33	0.8693	0.0031											
42	0.8626	0.0025											
47	0.8662	0.0031											
50	0.859	0.0026											
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
