-52	0.8223	0.005														
-50	0.8227	0.0044														
-47	0.8201	0.0049														
-45	0.8221	0.005														
-43	0.8155	0.0042														
-41	0.8183	0.0054														
-39	0.833	0.0046														
-38	0.8324	0.0046														
-36	0.8278	0.005														
-34	0.8388	0.0038														
-32	0.8215	0.0036														
-29	0.8208	0.0036														
-27	0.8167	0.0054														
-23	0.8135	0.0045														
-21	0.815	0.004														
-18	0.8265	0.0046														
-12	0.8092	0.0045														
-7	0.794	0.0046														
-2	0.7914	0.0037														
2	0.7839	0.0049														
9	0.7866	0.0046														
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
